Sample,Richness,Eutroph,Depth,Lake
1,33,10,2.045,1
2,32,10,0.964,1
3,36,10,0.664,1
4,33,10,2.616,1
5,32,10,1.316,1
6,28,10,3.19,2
7,30,10,2.82,2
8,28,10,2.635,2
9,44,10,2.061,2
10,41,10,0.666,2
11,24,11,1.024,3
12,10,11,3.494,3
13,20,11,1.799,3
14,17,11,1.518,3
15,17,11,2.167,3
16,10,11,3.768,4
17,17,11,1.97,4
18,17,11,2.46,4
19,10,11,3.367,4
20,20,11,1.189,4
21,17,10,3.117,5
22,47,10,1.497,5
23,24,10,2.729,5
24,16,10,3.627,5
25,24,10,2.054,5
26,22,11,1.422,6
27,20,11,1.652,6
28,10,11,4.222,6
29,24,11,1.107,6
30,20,11,2.766,6
31,14,11,2.883,7
32,10,11,3.786,7
33,10,11,3.375,7
34,17,11,1.94,7
35,20,11,2.367,7
36,17,10,3.671,8
37,22,10,1.625,8
38,26,10,0.995,8
39,22,10,2.17,8
40,10,10,4.052,8
41,26,10,1.644,9
42,33,10,2.094,9
43,17,10,1.998,9
44,11,10,4.255,9
45,14,10,2.865,9
